Link Name,Source Physical Location,Source NE Name,Source NE ID,Source Board,Source Port,Sink Physical Location,Sink NE Name,Sink NE ID,Sink Board,Sink Port,Level,Up and down Rate Ratio(TX:RX),Source Protect Type,Sink Protect Type,Source Protection Group ID,Sink Protection Group ID,Source Protect Unit Type,Sink Protect Unit Type,Source Revertive Mode,Sink Revertive Mode,Source Protection Group Active Work Unit,Sink Protection Group Active Work Unit,Source XPIC Group ID,Sink XPIC Group ID,Source XPIC Group Capacity (Mbit/s),Sink XPIC Group Capacity (Mbit/s),Source XPIC Polarization Direction,Sink XPIC Polarization Direction,Source XPIC Adjoin NEID,Sink XPIC Adjoin NEID,Source XPIC Adjoin LinkID,Sink XPIC Adjoin LinkID,Source Frequency(GHz),Sink Frequency(GHz),Source ODU Frequency Range(MHz),Sink ODU Frequency Range(MHz),Source Equipment Infomation,Sink Equipment Infomation,Source Station Type,Sink Station Type,Source NE Frequency (MHz),Sink NE Frequency (MHz),Source NE Radio Work Mode,Sink NE Radio Work Mode,Source NE Preset Value of Transmit Power,Sink NE Preset Value of Transmit Power,Source NE Current Value of Transmit Power,Sink NE Current Value of Transmit Power,Source NE Preset Value of Receive Power,Sink NE Preset Value of Receive Power,Source NE Current Value of Receive Power,Sink NE Current Value of Receive Power,Source NE Max Value of Transmit Power of 24-Hour PM,Sink NE Max Value of Transmit Power of 24-Hour PM,Source NE Min Value of Transmit Power of 24-Hour PM,Sink NE Min Value of Transmit Power of 24-Hour PM,Source NE Max Value of Receive Power of 24-Hour PM,Sink NE Max Value of Receive Power of 24-Hour PM,Source NE Min Value of Receive Power of 24-Hour PM,Sink NE Min Value of Receive Power of 24-Hour PM,Source NE Guaranteed E1 Capacity,Sink NE Guaranteed E1 Capacity,Source NE Occupied E1 Capacity,Sink NE Occupied E1 Capacity,Source NE E1 Capacity Usage (%),Sink NE E1 Capacity Usage (%),Source NE Ethernet Capacity (Mbit/s),Sink NE Ethernet Capacity (Mbit/s),Source NE Max. Ethernet Throughput (kbps),Sink NE Max. Ethernet Throughput (kbps),Source NE Min. Ethernet Throughput (kbps),Sink NE Min. Ethernet Throughput (kbps),Source NE Average Ethernet Throughput (kbps),Sink NE Average Ethernet Throughput (kbps),Source NE ATPC Enable Status,Sink NE ATPC Enable Status,Source NE ATPC Upper Threshold,Sink NE ATPC Upper Threshold,Source NE ATPC Lower Threshold,Sink NE ATPC Lower Threshold,Source NE ATPC Automatic Threshold Enable Status,Sink NE ATPC Automatic Threshold Enable Status,Source NE ATPC Upper Automatic Threshold,Sink NE ATPC Upper Automatic Threshold,Source NE ATPC Lower Automatic Threshold,Sink NE ATPC Lower Automatic Threshold,Source NE AM Status,Sink NE AM Status,Source AM Full Capacity Modulation Format,Sink AM Full Capacity Modulation Format,Source AM Guaranteed Capacity Modulation Format,Sink AM Guaranteed Capacity Modulation Format,Highest-Order AM Scheme for Source NE,Highest-Order AM Scheme for Sink NE,Lowest-Order AM Scheme for Source NE,Lowest-Order AM Scheme for Sink NE,Link ID,Site Distance
l-55,,754-CTG_X0741_NE_1,9-754,3-ISV3,1(CTG_X0715_NE_1),,802-CTG_X0715_NE_1,9-802,4-ISV3,1(CTG_X0741_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25599,24591,"0E1,28MHz,1024QAMLight","0E1,28MHz,1024QAMLight",2,2,0,0,-36.7,-36.7,-35.5,-35.8,0.1,0,0,0,-35.1,-35.6,-35.5,-35.8,0,0,0,0,-,-,227.398,227.398,103803,22361,210,152,22371,4414,Enabled,Enabled,-46,-46,-51,-51,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,36,-
l-2,,868-CTG_X0758_NE_1,9-868,4-ISV3,1(CTG_X0707_NE_1),,890-CTG_X0707_NE_1,9-890,3-ISV3,1(CTG_X0758_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[37044.000,37632.000]","[38304.000,38892.000]",XMC-2,XMC-2,TX low,TX high,37131.5,38391.5,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",0,0,0,0.1,-35.6,-35.6,-39.2,-39.6,0.3,0.2,0,0,-38.7,-38.7,-39.2,-39.6,0,0,0,0,-,-,53.699,53.699,42576,12641,152,156,9644,2558,Enabled,Enabled,-41,-41,-46,-46,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,37,-
l-1,,603-CTG_X0329_NE_1,9-603,3-ISV3,1(CTG_X0382_NE_1),,641-CTG_X0382_NE_1,9-641,5-ISV3,1(CTG_X0329_NE_1),Hybrid(101Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[11205.000,11505.000]","[10675.000,10975.000]",XMC-2,XMC-2,TX high,TX low,11432,10902,"0E1,14MHz,512QAMLight","0E1,14MHz,512QAMLight",16,16,8.9,12,-10,-10,-41.9,-42.5,9.1,12,8.9,10,-41.9,-42.5,-43.6,-43.5,0,0,0,0,-,-,100.143,100.143,50192,10664,102,97,14542,3794,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,41,-
l-16,,113-CTG_X0762_NE_1,9-113,4-ISV3,1(CTG_X0045_NE_1),,340-CTG_X0045_NE_1,9-340,4-ISV3,1(CTG_X0762_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,19012,18002,"6E1,7MHz,256QAM","6E1,7MHz,256QAM",8,8,0.1,0,-10,-10,-45.3,-46.4,0.1,0.2,0,0,-45,-46.1,-45.3,-46.4,6,6,1,1,16.67,16.67,29.942,29.942,0,0,0,0,0,0,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAMStrong,16QAMStrong,/,/,/,/,42,-
l-2,,1112-CTG_M0578_NE_1,9-1112,3-ISV3,1(261-CTG_X0001_NE_1),,261-CTG_X0001_NE_1,9-261,6-ISV3,1(1112-CTG_M0578_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18954.25,17944.25,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",4,4,0,0,-10,-10,-40.7,-40.3,0,0,-0.1,0,-40.3,-40.1,-40.7,-40.3,0,0,0,0,-,-,42.269,42.269,29776,6523,73,93,2850,921,Enabled,Enabled,-56,-56,-61,-61,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,45,-
l-8,,1030-CTG_B0563_NE_1,9-1030,3-ISV3,1(CTG_X0545_NE_1),,780-CTG_X0545_NE_1,9-780,4-ISV3,1(CTG_B0563_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24580.5,25588.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",0,0,0,0,-10,-10,-37.9,-38.3,0.1,0.1,0,0,-37.6,-38.2,-37.9,-38.4,0,0,0,0,-,-,42.269,42.269,15566,1060,38,8,157,33,Enabled,Enabled,-55,-55,-60,-60,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,47,-
l-2,,1067-CTG_B0590_NE_1,9-1067,3-ISV3,1(CTG_X0545_NE_2),,1074-CTG_X0545_NE_2,9-1074,3-ISV3,1(CTG_B0590_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24601.5,25609.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",0,0,0,0,-10,-10,-30.4,-31.1,0,0.1,0,0,-30.4,-31.1,-30.5,-31.3,0,0,0,0,-,-,42.269,42.269,195,216,0,3,35,58,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,48,-
1,,499-CTG_X0763_NE_1,9-499,3-ISV3,1(500-CTG_X0134_NE_1),,500-CTG_X0134_NE_1,9-500,4-ISV3,1(CTG_X0763_NE_1),Hybrid(161Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14704,15124,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",16,16,2,3.1,-10,-10,-46.9,-47.6,3.1,4,2,3.1,-46,-46.7,-46.9,-47.6,0,0,0,0,-,-,159.919,159.919,14684,78808,268,272,3452,16633,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,50,-
l-71,,491-CTG_X1617_NE_1,9-491,3-ISV3,1(CTG_X0137_NE_2),,507-CTG_X0137_NE_2,9-507,3-ISV3,1(CTG_X1617_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17981.88,18991.88,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",4,4,0,0.1,-10,-10,-41,-42.1,0.2,0.2,0,0.1,-40.8,-41.2,-41,-42.1,0,0,0,0,-,-,88.203,88.203,64480,11192,116,69,9874,1813,Enabled,Enabled,-56,-56,-61,-61,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,56,-
l-81,,1108-CTG_X1727_NE_1,9-1108,3-ISV3,1(253-CTG_X0547_NE_1),,253-CTG_X0547_NE_1,9-253,6-ISV3,1(1108-CTG_X1727_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38388,37128,"0E1,28MHz,1024QAMLight","0E1,28MHz,1024QAMLight",0,0,4,5,-10,-10,-44.1,-44.1,4.1,/,4,/,-42,/,-44.1,/,0,0,0,0,-,-,227.398,227.398,69457,16843,429,546,22056,6538,Enabled,Enabled,-41,-41,-46,-46,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,57,-
l-6,,253-CTG_X0547_NE_1,9-253,3-ISV3,1(260-CTG_X0137_NE_1),,260-CTG_X0137_NE_1,9-260,6-ISV3,1(253-CTG_X0547_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,18002.5,19012.5,"1E1,28MHz,1024QAMLight","1E1,28MHz,1024QAMLight",4,4,0,0,-10,-10,-35.9,-35.9,0.1,0.1,0,0,-35.6,-35.5,-35.9,-35.9,1,1,0,0,0,0,225.323,225.323,16820,86224,276,320,5097,27584,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,59,-
l-4,,1558-CTG_B1206_NE_1,9-1558,3-ISV3,1(1604-CTG_X0015_NE_2),,1604-CTG_X0015_NE_2,9-1604,5-ISV3,1(1558-CTG_B1206_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[15138.000,15348.000]","[14718.000,14928.000]",XMC-2,XMC-2,TX high,TX low,15141.5,14721.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",5,5,-0.2,0.1,-10,-10,-38.6,-37.4,0,0.2,-0.2,-0.1,-38.3,-37,-38.6,-37.4,0,0,0,0,-,-,42.269,42.269,564,301,19,3,44,19,Enabled,Enabled,-56,-56,-61,-61,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,61,-
l-5,,105-CTG_X0014_NE_1,9-105,6-ISV3,1(107-CTG_X0745_NE_1),,107-CTG_X0745_NE_1,9-107,5-ISV3,1(105-CTG_X0014_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25630.5,24622.5,"2E1,7MHz,256QAM","2E1,7MHz,256QAM",0,0,0,0,-10,-10,-30.5,-30.4,0,0,0,0,-30.5,-30.4,-31.4,-31.2,2,2,1,1,50,50,38.16,38.16,0,0,0,0,0,0,Enabled,Enabled,-44,-44,-49,-49,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,62,-
l-8,,1087-CTG_R1766_NE_1,9-1087,3-ISV3,1(CTG_X0775_NE_2),,1122-CTG_X0775_NE_2,9-1122,3-ISV3,1(CTG_R1766_NE_1),Hybrid(196Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17975,18985,"1E1,28MHz,512QAM","1E1,28MHz,512QAM",5,5,0.1,0,-10,-10,-41.4,-41.4,0.1,0.1,0,0,-41.4,-41.2,-41.6,-41.4,1,1,0,0,0,0,193.597,193.597,80162,22201,125,86,17705,3087,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,QPSKStrong,QPSKStrong,/,/,/,/,65,-
l-1,,1646-CTG_X9005_NE_1,9-1646,10-ISV3,1(CTG_X0611_NE_1),,1637-CTG_X0611_NE_1,9-1637,3-ISV3,1(CTG_X9005_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[11445.000,11745.000]","[10915.000,11215.000]",XMC-2,XMC-2,TX high,TX low,11547,11017,"5E1,28MHz,1024QAMLight","5E1,28MHz,1024QAMLight",15,15,20,20,-10,-10,-35.8,-35.2,20,20,20,20,-35.2,-34.6,-35.8,-35.2,5,5,2,2,40,40,217.022,217.022,35439,134237,1740,1888,14984,61317,Enabled,Enabled,-30,-30,-35,-35,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,66,-
l-6,,1639-CTG_X0327_NE_1,9-1639,3-ISV3,1(CTG_X0519_NE_1),,1647-CTG_X0519_NE_1,9-1647,4-ISV3,1(CTG_X0327_NE_1),Hybrid(101Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10996,11526,"0E1,14MHz,512QAMLight","0E1,14MHz,512QAMLight",20,20,12,12,-40.5,-40.5,-43.3,-42.9,12.2,14.1,12,12,-40.7,-42.3,-43.3,-42.9,0,0,0,0,-,-,100.143,100.143,69849,17230,273,317,14895,3782,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,68,-
