Link Name,Source Physical Location,Source NE Name,Source NE ID,Source Board,Source Port,Sink Physical Location,Sink NE Name,Sink NE ID,Sink Board,Sink Port,Level,Up and down Rate Ratio(TX:RX),Source Protect Type,Sink Protect Type,Source Protection Group ID,Sink Protection Group ID,Source Protect Unit Type,Sink Protect Unit Type,Source Revertive Mode,Sink Revertive Mode,Source Protection Group Active Work Unit,Sink Protection Group Active Work Unit,Source XPIC Group ID,Sink XPIC Group ID,Source XPIC Group Capacity (Mbit/s),Sink XPIC Group Capacity (Mbit/s),Source XPIC Polarization Direction,Sink XPIC Polarization Direction,Source XPIC Adjoin NEID,Sink XPIC Adjoin NEID,Source XPIC Adjoin LinkID,Sink XPIC Adjoin LinkID,Source Frequency(GHz),Sink Frequency(GHz),Source ODU Frequency Range(MHz),Sink ODU Frequency Range(MHz),Source Equipment Infomation,Sink Equipment Infomation,Source Station Type,Sink Station Type,Source NE Frequency (MHz),Sink NE Frequency (MHz),Source NE Radio Work Mode,Sink NE Radio Work Mode,Source NE Preset Value of Transmit Power,Sink NE Preset Value of Transmit Power,Source NE Current Value of Transmit Power,Sink NE Current Value of Transmit Power,Source NE Preset Value of Receive Power,Sink NE Preset Value of Receive Power,Source NE Current Value of Receive Power,Sink NE Current Value of Receive Power,Source NE Max Value of Transmit Power of 24-Hour PM,Sink NE Max Value of Transmit Power of 24-Hour PM,Source NE Min Value of Transmit Power of 24-Hour PM,Sink NE Min Value of Transmit Power of 24-Hour PM,Source NE Max Value of Receive Power of 24-Hour PM,Sink NE Max Value of Receive Power of 24-Hour PM,Source NE Min Value of Receive Power of 24-Hour PM,Sink NE Min Value of Receive Power of 24-Hour PM,Source NE Guaranteed E1 Capacity,Sink NE Guaranteed E1 Capacity,Source NE Occupied E1 Capacity,Sink NE Occupied E1 Capacity,Source NE E1 Capacity Usage (%),Sink NE E1 Capacity Usage (%),Source NE Ethernet Capacity (Mbit/s),Sink NE Ethernet Capacity (Mbit/s),Source NE Max. Ethernet Throughput (kbps),Sink NE Max. Ethernet Throughput (kbps),Source NE Min. Ethernet Throughput (kbps),Sink NE Min. Ethernet Throughput (kbps),Source NE Average Ethernet Throughput (kbps),Sink NE Average Ethernet Throughput (kbps),Source NE ATPC Enable Status,Sink NE ATPC Enable Status,Source NE ATPC Upper Threshold,Sink NE ATPC Upper Threshold,Source NE ATPC Lower Threshold,Sink NE ATPC Lower Threshold,Source NE ATPC Automatic Threshold Enable Status,Sink NE ATPC Automatic Threshold Enable Status,Source NE ATPC Upper Automatic Threshold,Sink NE ATPC Upper Automatic Threshold,Source NE ATPC Lower Automatic Threshold,Sink NE ATPC Lower Automatic Threshold,Source NE AM Status,Sink NE AM Status,Source AM Full Capacity Modulation Format,Sink AM Full Capacity Modulation Format,Source AM Guaranteed Capacity Modulation Format,Sink AM Guaranteed Capacity Modulation Format,Highest-Order AM Scheme for Source NE,Highest-Order AM Scheme for Sink NE,Lowest-Order AM Scheme for Source NE,Lowest-Order AM Scheme for Sink NE,Link ID,Site Distance
l-9,,273-DHK_X0117_NE_1,9-273,4-ISV3,1(DHK_X0591_NE_1),,277-DHK_X0591_NE_1,9-277,5-ISV3,1(DHK_X0117_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14707.5,15127.5,"1E1,7MHz,256QAM","1E1,7MHz,256QAM",10,10,2.1,1.1,-10,-10,-48.6,-47.7,6,2.1,0.1,0.1,-44.5,-46.7,-50.4,-50.4,1,1,1,1,100,100,40.215,40.215,5,21,0,0,0,0,Enabled,Enabled,-46.5,-46.5,-51.5,-51.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,1024QAMLight,/,QPSKStrong,85,-
l-10,,275-DHK_X0802_NE_1,9-275,3-ISV3,1(DHK_X0791_NE_1),,278-DHK_X0791_NE_1,9-278,3-ISV3,1(DHK_X0802_NE_1),Hybrid(101Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38381,37121,"0E1,14MHz,512QAMLight","0E1,14MHz,512QAMLight",0,0,0,0,-10,-10,-60.3,-40,0.1,0.1,0,0,-54.5,-39.6,-60.3,-40,0,0,0,0,-,-,100.143,100.143,14435,51893,158,144,2787,7656,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,86,-
l-19,,320-DHK_X2981_NE_1,9-320,3-ISV3,1(DHK_X1975_NE_1),,323-DHK_X1975_NE_1,9-323,3-ISV3,1(DHK_X2981_NE_1),Hybrid(101Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24612,25620,"0E1,14MHz,512QAMLight","0E1,14MHz,512QAMLight",2,2,0,0,-10,-10,-40.1,-41.3,0.1,0,0,0,-39.6,-40.8,-40.1,-41.4,0,0,0,0,-,-,100.143,100.143,28583,75929,406,313,5793,16354,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,95,-
l-20,,320-DHK_X2981_NE_1,9-320,5-ISV3,1(DHK_X1975_NE_1),,323-DHK_X1975_NE_1,9-323,5-ISV3,1(DHK_X2981_NE_1),Hybrid(183Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24612,25620,"0E1,14MHz,512QAMLight","0E1,14MHz,512QAMLight",2,2,-55,-55,-10,-10,-39.6,-41.2,-55,-55,-55,-55,-39.2,-40.9,-39.6,-41.2,0,0,0,0,-,-,100.143,100.143,28646,75949,434,312,5793,16354,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,96,-
l-24,,224-DHK_X0644_NE_1,9-224,6-ISV3,1(DHK_X9007_NE_1),,235-DHK_X9007_NE_1,9-235,7-ISV3,1(DHK_X0644_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18957.5,17947.5,"0E1,28MHz,1024QAMLight","0E1,28MHz,1024QAMLight",10,10,3.4,3.6,-10,-10,-43.4,-43.7,3.6,3.6,3.4,2.4,-43.4,-43.2,-44.6,-43.7,0,0,0,0,-,-,227.398,227.398,156321,42501,1443,1222,48578,14312,Enabled,Enabled,-42.5,-42.5,-47.5,-47.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,1024QAMLight,/,QPSKStrong,/,100,-
l-26,,229-DHK_X1133_NE_1,9-229,3-ISV3,1(235-DHK_X9007_NE_1),,235-DHK_X9007_NE_1,9-235,9-ISV3,1(229-DHK_X1133_NE_1),Hybrid(161Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18985,17975,"4E1,28MHz,128QAM","4E1,28MHz,128QAM",4,4,0.1,0,-10,-10,-41.1,-41.3,0.1,0,0,0,-38.5,-38.7,-41.1,-41.3,4,4,3,3,75,75,151.62,151.62,48,402,0,0,1,1,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,1024QAMLight,/,QPSKStrong,/,102,-
l-29,,236-DHK_X2982_NE_1,9-236,3-ISV3,1(DHK_X9007_NE_1),,235-DHK_X9007_NE_1,9-235,14-ISV3,1(DHK_X2982_NE_1),Hybrid(161Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18985,17975,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",0,0,0,0,-10,-10,-40.7,-39.7,0,0.1,-0.1,0,-38.9,-38,-40.7,-39.7,0,0,0,0,-,-,159.919,159.919,81752,26037,369,484,19317,5559,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSK,QPSK,1024QAMLight,/,QPSKStrong,/,105,-
l-4,,300-DHK_X2635_NE_1,9-300,3-ISV3,1(DHK_X1032_NE_1),,303-DHK_X1032_NE_1,9-303,4-ISV3,1(DHK_X2635_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25592,24584,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",7,7,0,0.1,-10,-10,-43.6,-43.1,0.1,0.1,0,0,-42.7,-42.2,-43.6,-43.1,0,0,0,0,-,-,108.702,108.702,66200,26746,347,301,12118,2657,Enabled,Enabled,-44,-44,-49,-49,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,126,-
l-6,,270-DHK_X9016_NE_1,9-270,10-ISV3,1(DHK_X0013_NE_1),,304-DHK_X0013_NE_1,9-304,3-ISV3,1(DHK_X9016_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38409,37149,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",0,0,0,0,-10,-10,-37.7,-39.1,0.1,0.1,0,0,-35.2,-36.8,-37.7,-39.1,0,0,0,0,-,-,108.702,108.702,27863,57339,125,144,2156,7896,Enabled,Enabled,-44,-44,-49,-49,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,256QAM,QPSKStrong,QPSKStrong,128,-
l-10,,198-UT11_NE_2,9-198,7-ISV3,1(168-DHK_X2229_NE_1),,168-DHK_X2229_NE_1,9-168,3-ISV3,1(198-UT11_NE_2),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10989,11519,"3E1,28MHz,1024QAMLight","3E1,28MHz,1024QAMLight",10,10,-0.1,-2.6,-10,-10,-52,-51.1,2.1,-1.5,-0.1,-2.6,-52,-51.1,-53.4,-52.7,3,3,0,0,0,0,221.173,221.173,43767,175175,1253,1458,16415,64009,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,1024QAMLight,/,QPSKStrong,132,-
l-36,,197-UT11_NE_1,9-197,3-ISV3,1(178-DHK_X2966_NE_1),,178-DHK_X2966_NE_1,9-178,4-ISV3,1(197-UT11_NE_1),Hybrid(161Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10989,11519,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",10,10,-2,-2,-10,-10,-54.4,-54.8,-2,-1.8,-2,-2,-54.2,-54.5,-54.7,-55,0,0,0,0,-,-,159.919,159.919,9462,47401,156,133,2744,8294,Enabled,Enabled,-52,-52,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,1024QAMLight,/,QPSKStrong,158,-
l-43,,178-DHK_X2966_NE_1,9-178,3-ISV3,1(194-DHK_X4437_NE_1),,194-DHK_X4437_NE_1,9-194,3-ISV3,1(178-DHK_X2966_NE_1),Hybrid(109Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18950.63,17940.63,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",4,4,0,0,-10,-10,-44.6,-44.2,0.1,0.1,0,0,-44.3,-43.7,-44.7,-44.2,0,0,0,0,-,-,108.702,108.702,22969,91495,700,668,6977,20560,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,165,-
l-44,,178-DHK_X2966_NE_1,9-178,5-ISV3,1(194-DHK_X4437_NE_1),,194-DHK_X4437_NE_1,9-194,5-ISV3,1(178-DHK_X2966_NE_1),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18950.63,17940.63,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",4,4,-55,-55,-10,-10,-44.8,-43.9,-55,-55,-55,-55,-44.5,-43.6,-44.8,-43.9,0,0,0,0,-,-,108.702,108.702,23882,95853,646,644,6977,20560,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,166,-
l-48,,197-UT11_NE_1,9-197,11-ISV3,1(249-DHK_X2222_NE_1),,249-DHK_X2222_NE_1,9-249,3-ISV3,1(197-UT11_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14704,15124,"2E1,28MHz,1024QAMLight","2E1,28MHz,1024QAMLight",5,5,0.1,0.1,-10,-10,-46,-45.5,0.2,0.2,-0.1,0,-45.1,-44.7,-46,-45.5,2,2,1,1,50,50,223.248,223.248,33210,96022,658,1003,7385,25107,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,170,-
l-20,,307-DHK_B1429_NE_1,9-307,3-ISV3,1(DHK_X0265_NE_1),,301-DHK_X0265_NE_1,9-301,9-ISV3,1(DHK_B1429_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25595.5,24587.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",0,0,0,0,-10,-10,-38.4,-38.2,0.1,0.1,-0.1,0,-37.9,-37.3,-38.4,-38.2,0,0,0,0,-,-,42.269,42.269,39847,5919,59,44,1392,440,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSKStrong,QPSKStrong,175,-
